,player_id,display_name,entry_year,last_name_initial
615,00-0030644,Akeem Davis,2014,D
249,00-0020800,Justin Ena,2002,E
29,00-0004875,Percy Ellsworth,1996,E
30,00-0004989,Josh Evans,1995,E
384,00-0023405,Abram Elam,2006,E
430,00-0024201,Hiram Eugene,2007,E
376,00-0023313,Isaiah Ekejiuba,2005,E
363,00-0023114,Dovonte Edwards,2005,E
207,00-0019809,Troy Evans,2002,E
218,00-0020055,Demetric Evans,2001,E
252,00-0020824,Vernon Fox,2002,F
483,00-0025991,Eric Foster,2008,F
32,00-0005155,Nick Ferguson,2000,F
34,00-0005322,London Fletcher,1998,F
510,00-0026581,Rob Francois,2010,F
33,00-0005165,Frank Ferrara,2001,F
31,00-0005074,D'Marco Farr,1994,F
178,00-0019133,Hank Fraley,2001,F
263,00-0021008,Trev Faulk,2004,F
369,00-0023213,Aaron Francisco,2005,F
350,00-0022932,Ryan Fowler,2004,F
425,00-0024097,Jamaal Fudge,2006,F
608,00-0030215,Glenn Foster,2013,F
370,00-0023215,Heath Farwell,2005,F
365,00-0023174,Simon Fraser,2005,F
351,00-0022997,Andre Frazier,2005,F
624,00-0031467,T.J. Fatinikun,2014,F
536,00-0027237,Dane Fletcher,2010,F
280,00-0021487,Anthony Floyd,2003,F
36,00-0006250,Billy Granville,1997,G
416,00-0023998,Steve Gregory,2006,G
407,00-0023825,Charles Gordon,2006,G
200,00-0019637,Orantes Grant,2000,G
423,00-0024075,Cletis Gordon,2006,G
473,00-0025821,Gary Guyton,2008,G
38,00-0006395,Donovan Greer,1997,G
525,00-0026837,Danny Gorrer,2009,G
378,00-0023327,Gary Gibson,2007,G
278,00-0021385,Andre Gurode,2002,G
359,00-0023075,Kris Griffin,2005,G
289,00-0021574,Akbar Gbaja-Biamila,2003,G
268,00-0021131,Louis Green,2004,G
336,00-0022527,Jabari Greer,2004,G
331,00-0022391,Junior Glymph,2004,G
325,00-0022344,Randall Gay,2004,G
306,00-0021791,Otis Grigsby,2007,G
35,00-0006103,Jeff Gooch,1996,G
37,00-0006356,Victor Green,1993,G
40,00-0006562,Brock Gutierrez,1997,G
39,00-0006459,Robert Griffith,1994,G
547,00-0027503,Josh Gordy,2010,G
553,00-0027639,Cory Greenwood,2010,G
559,00-0027784,Clifton Geathers,2010,G
173,00-0019096,Ray Green,2000,G
543,00-0027353,Marshay Green,2011,G
566,00-0028084,DeJon Gomes,2011,G
170,00-0019053,Steve Gleason,2000,G
188,00-0019324,Damian Gregory,2001,G
184,00-0019250,Trent Gamble,2000,G
623,00-0031438,Justin Gilbert,2014,G
165,00-0018927,Gaylon Hyder,1999,H
283,00-0021503,Roderick Hood,2003,H
50,00-0007236,Nate Hemsley,1997,H
599,00-0029610,Mike Harris,2012,H
406,00-0023823,Lamarcus Hicks,2007,H
245,00-0020678,Kyries Hebert,2008,H
175,00-0019101,Reggie Howard,2000,H
393,00-0023600,Mike Hawkins,1978,H
174,00-0019097,Deveron Harper,2000,H
47,00-0007089,Harald Hasselbach,1994,H
603,00-0029945,Paul Hazel,2013,H
390,00-0023533,Leroy Hill,2005,H
172,00-0019070,Ronnie Heard,2000,H
546,00-0027431,Kellen Heard,2011,H
52,00-0007375,Eric Hicks,1998,H
158,00-0018575,Duane Hawthorne,1999,H
43,00-0006733,Uhuru Hamiter,1999,H
42,00-0006708,Bobby Hamilton,1996,H
299,00-0021654,Joselio Hanson,2004,H
57,00-0007788,Bobbie Howard,2001,H
614,00-0030435,Jeremy Harris,2014,H
487,00-0025999,David Hawthorne,2008,H
51,00-0007325,Kelly Herndon,2002,H
53,00-0007450,Raion Hill,2000,H
482,00-0025945,Erin Henderson,2008,H
54,00-0007452,Ray Hill,1998,H
267,00-0021055,Quentin Harris,2002,H
41,00-0006636,Jermaine Haley,2000,H
399,00-0023737,Kevin Huntley,2006,H
164,00-0018614,Corey Harris,1992,H
239,00-0020571,Clinton Hart,2003,H
44,00-0006760,William Hampton,2001,H
409,00-0023890,Jason Hunter,2006,H
55,00-0007531,Nate Hobgood-Chittick,1999,H
364,00-0023136,Antoine Harris,2007,H
315,00-0022199,Jason Horton,2004,H
520,00-0026759,Phillip Hunt,2011,H
528,00-0026920,Macho Harris,2009,H
56,00-0007667,Bernard Holsey,1996,H
46,00-0006960,Johnnie Harris,1999,H
203,00-0019733,Nick Harper,2001,H
531,00-0027084,Sammie Lee Hill,2009,H
183,00-0019247,Tommy Hendricks,2000,H
347,00-0022804,Nick Hardwick,2004,H
443,00-0024673,David Herron,2007,H
48,00-0007108,Tim Hauck,1990,H
352,00-0022998,Arnold Harrison,2006,H
598,00-0029407,Will Hill,1988,H
321,00-0022306,Brian Howard,2004,H
192,00-0019387,James Hall,1987,H
360,00-0023084,Marques Harris,2005,H
372,00-0023241,Dennis Haley,2005,H
233,00-0020304,Edgerton Hartwell,2001,H
411,00-0023902,Kevin Hobbs,2007,H
45,00-0006920,Bernardo Harris,1995,H
49,00-0007186,Rodney Heath,1999,H
210,00-0019940,Chris Hoke,2004,H
