player_id,player_display_name,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
00-0014358,Warren Sapp,,3.0,9.0,10.5,7.0,12.5,15.5,6.0,7.5,5.0,2.5,4.5,10.0,2.0,
00-0015795,Michael Strahan,1.0,4.5,7.5,5.0,14.0,15.0,5.5,9.5,22.5,11.0,18.0,4.0,11.5,3.0,9.0
00-0022695,Jason Babin,,,4.0,4.0,5.0,,2.0,3.0,12.5,18.0,7.0,7.5,2.0,0.0,
00-0023445,DeMarcus Ware,,8.0,12.0,14.0,20.0,11.0,15.5,19.5,11.5,6.0,10.0,7.5,4.0,,
00-0031388,Aaron Donald,,9.0,11.0,8.0,11.0,20.5,12.5,13.5,12.5,5.0,8.0,,,,
00-0033886,T.J. Watt,,7.0,13.0,14.5,15.0,22.5,5.5,19.0,11.5,,,,,,
00-0033935,Trey Hendrickson,,2.0,0.0,4.5,13.5,14.0,8.0,17.5,17.5,,,,,,
00-0035717,Nick Bosa,9.0,0.0,15.5,18.5,10.5,9.0,,,,,,,,,
